Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status,Create date,Updated at
000000003580,,S004005,90304-MD SH,Accounting-AP,APG,SH,APG AP accounting voucher 2017-12~12-1/3 ,,,,
000000003581,,S004005,90304-MD SH,Accounting-AP,APG,SH,APG AP accounting voucher 2017-12~12-2/3 ,,,,
000000003582,,S004005,90304-MD SH,Accounting-AP,APG,SH,APG AP accounting voucher 2017-12~12-3/3 ,,,,
000000003583,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-1~1- ,,,,
000000003584,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-2~2- ,,,,
000000003585,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-3~3- ,,,,
000000003586,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-4~4- ,,,,
000000003587,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-5~5- ,,,,
000000003588,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-6~6- ,,,,
000000003589,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-7~7- ,,,,
000000003590,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-8~8- ,,,,
000000003591,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-9~9- ,,,,
000000003592,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-10~10- ,,,,
000000003593,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-11~11- ,,,,
000000003594,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2016-12~12- ,,,,
000000003595,,S003004,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-1~1-1/5 ,,,,
000000003596,,S003004,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-1~1-2/5 ,,,,
000000003597,,S003004,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-1~1-3/5 ,,,,
000000003598,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-1~1-4/5 ,,,,
000000003599,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-1~1-5/5 ,,,,
000000003600,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-2~2-1/2 ,,,,
000000003601,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-2~2-2/2 ,,,,
000000003602,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-3~3-1/4 ,,,,
000000003603,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-3~3-2/4 ,,,,
000000003604,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-3~3-3/4 ,,,,
000000003605,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2016-3~3-4/4 ,,,,
